rg,layer,k,num-params,num-trainable-params,batch-size,test-time,test-time-std,test-space,test-space-std,train-time,train-time-std,train-space,train-space-std
RQT,cp,16,51728448,51728448,128,21.936729668613417,0.7901529433811724,4.968216419219971,0.0,27.792916071941576,1.2994741345844032,5.361558437347412,27.792916071941576
RQT,cp-shared,16,50336832,50336832,128,22.400619537476075,0.8708087218681001,4.963032245635986,0.0,29.410929492199756,1.125029246536051,5.346005916595459,29.410929492199756
RQT,cp-shared-new,16,50336832,50358657,128,22.230132819179552,0.580698902007312,4.963114261627197,0.0,30.543189726680158,1.532617730769116,5.346251964569092,30.543189726680158
RQT,cp,32,106250368,106250368,128,26.051529505166663,0.6011128113522487,5.358826160430908,0.0,33.64800908192095,1.7521325253178057,6.158387660980225,33.64800908192095
RQT,cp-shared,32,100683904,100683904,128,26.430168680397863,0.6588786502400077,5.338089466094971,0.0,52.91434285726892,1.9268391998481782,6.096177577972412,52.91434285726892
RQT,cp-shared-new,32,100683904,100727553,128,26.66382113230755,0.5604723112985005,5.338252544403076,0.0,53.38940950569857,1.6595739433396983,6.0966668128967285,53.38940950569857
RQT,cp,64,223674624,223674624,128,34.981529526921165,0.7174329923314847,6.171265602111816,0.0,44.873746374045986,1.4401529944639018,7.845705986022949,44.873746374045986
RQT,cp-shared,64,201408768,201408768,128,35.670082751048135,0.6834016598383034,6.088318824768066,0.0,65.05057810588055,1.3312188094755517,7.596865653991699,65.05057810588055
RQT,cp-shared-new,64,201408768,201496065,128,35.799490135836315,0.6745821149900277,6.088644504547119,0.0,66.08317412717275,1.8344044542093492,7.597842693328857,66.08317412717275
RQT,cp,128,492044800,492044800,128,57.4023661326213,0.6480270487617931,7.921022415161133,0.0,74.62123267238877,1.204850268326488,11.594976425170898,74.62123267238877
RQT,cp-shared,128,402981376,402981376,128,58.23487889240066,0.5748091714531328,7.589235305786133,0.0,94.79920977856739,1.7503492627238308,10.599615097045898,94.79920977856739
RQT,cp-shared-new,128,402981376,403155969,128,58.49497964391747,0.6683205676003301,7.58988618850708,0.0,94.86743862657661,1.5806050025071416,10.60156774520874,94.86743862657661
RQT,cp,256,1162871808,1162871808,128,98.47510427451995,0.7572070468302339,11.920047760009766,0.0,133.6665085022708,1.6504002986403155,23.412370204925537,133.6665085022708
RQT,cp-shared,256,806618112,806618112,128,100.60517800572407,0.7703652629597887,10.592899322509766,0.0,150.89990932970161,1.5588896580648113,18.103776454925537,150.89990932970161
RQT,cp-shared-new,256,806618112,806967297,128,101.16641759297934,0.7616016232661106,10.594200611114502,0.0,151.1023826139519,1.5803293898024302,18.108981609344482,151.1023826139519
RQT,cp-shared,512,1615857664,1615857664,128,214.53291100191782,1.2751716169983525,16.60755157470703,0.0,309.7903590681084,2.22392937846567,36.1623854637146,309.7903590681084
RQT,cp-shared-new,512,1615857664,1616556033,128,215.40591914778253,1.3595919409576522,16.610153675079346,0.0,309.96549466910614,1.7984823773795697,36.17279386520386,309.96549466910614
PD,cp,16,147967998,147967998,128,129.38655703134805,1.408091811361609,5.2737812995910645,0.0,296.02308329999687,3.0515419112097804,14.209230422973633,296.02308329999687
PD,cp-shared,16,53297758,53297758,128,142.02341035283712,1.2428056613781302,4.915472984313965,0.0,524.8066894041008,3.362409383455141,15.954388618469238,524.8066894041008
QG,cp,16,54567618,54567618,128,26.728330298121197,1.0190040039247368,4.978793621063232,0.0,40.821109771728516,2.5498717815569245,5.393290042877197,40.821109771728516
QG,cp-shared,16,50380962,50380962,128,27.621738556398444,1.0828245236716574,4.963197231292725,0.0,49.898753277269236,1.7953066557588118,5.346500873565674,49.898753277269236
QG,tucker,16,83913858,83913858,128,32.31606441329282,1.3140253873532406,5.088116645812988,0.0,70.02558047129926,2.7453409853102726,5.721259117126465,70.02558047129926
QG,cp-shared-new,16,50380962,50511972,128,27.84886125771396,1.2131773036237627,4.963685989379883,0.0,52.197769364199964,2.7402239130496278,5.347967147827148,52.197769364199964
QG,cp,32,117519746,117519746,128,33.44571004813933,1.113031995213986,5.400808334350586,0.0,54.647354723459266,2.407688505176803,6.284334182739258,54.647354723459266
QG,cp-shared,32,100773186,100773186,128,34.57427926427389,1.251161982608115,5.338422775268555,0.0,169.33728015087695,2.246272369892578,6.097177505493164,169.33728015087695
QG,tucker,32,369057026,369057026,128,51.61983255593174,1.1728993449894827,6.337857723236084,0.0,152.0636465539894,3.109933607468871,13.28087568283081,152.0636465539894
QG,cp-shared-new,32,100773186,101035204,128,35.04105541122008,1.1376996348480675,5.339399337768555,0.0,170.8456143911584,2.070785115858462,6.100107192993164,170.8456143911584
QG,cp,64,268577538,268577538,128,47.31934221872843,1.3158665117488788,6.338542461395264,0.0,77.5794062173989,2.4671292667232216,8.347536563873291,77.5794062173989
QG,cp-shared,64,201591426,201591426,128,49.16214798157473,1.2599218958746354,6.0889997482299805,0.0,192.1666354137252,1.884219477008007,7.598908424377441,192.1666354137252
QG,cp-shared-new,64,201591426,202115460,128,50.205279721792444,1.3294420275789713,6.090952396392822,0.0,194.6044664497835,2.270400404866899,7.604766368865967,194.6044664497835
QG,cp,128,671307266,671307266,128,80.26713402682998,1.1729048678822145,8.58882761001587,0.0,137.99575873072368,2.556937284196055,14.01961088180542,137.99575873072368
QG,cp-shared,128,403363074,403363074,128,83.37417657691311,1.1696490888739839,7.590657711029053,0.0,247.86040450865963,2.0296877352942797,12.02461290359497,247.86040450865963
QG,cp-shared-new,128,403363074,404411140,128,84.76726740335364,1.3671228402863715,7.594562530517578,0.0,250.4040369853437,2.26960322436056,12.036327362060547,250.4040369853437
QG,cp,256,1879223298,1879223298,128,144.81536007310493,1.3337400738000535,14.58866548538208,0.0,261.0313395917655,2.2332968722956266,35.08749294281006,261.0313395917655
QG,cp-shared,256,807447042,807447042,128,152.75441683727095,1.3876542834021022,10.595987796783447,0.0,368.7121975450631,2.4058723143577527,22.457431316375732,368.7121975450631
QG,cp-shared-new,256,807447042,809543172,128,158.037899461616,1.450657752952006,10.60379695892334,0.0,368.3942922569183,3.1448213033607395,22.48085880279541,368.3942922569183
QG,cp-shared,512,1617777666,1617777666,128,333.40604409826807,1.48299067170401,17.106892108917236,0.0,675.9995403979198,31.859793463988783,43.347238063812256,675.9995403979198
QG,cp-shared-new,512,1617777666,1621969924,128,339.3103279818493,1.7909116656387327,17.122509956359863,0.0,685.528067102394,33.42625331994053,43.39409160614014,685.528067102394
